genus,species,score
Carex,stipata,0.013048588362787328
Carex,straminiformis,0.003099424640411538
Carex,stylosa,0.0008198214611040263
Carex,subbracteata,0.0025788041075919324
Carex,subfusca,0.0117473140651967
Carex,sychnocephala,4.554563672800146e-05
Carex,sylvatica,0.00040991073055201313
Carex,tahoensis,0.0003188194570960102
Carex,tenera,4.554563672800146e-05
Carex,tompkinsii,5.16422226812642e-05
Carex,tribuloides,0.0012360586134741963
Carex,tumulicola,0.011554642915517317
Carex,unilateralis,0.006519442871542856
Carex,utriculata,0.01970221421203669
Carex,vallicola,0.00030182590754449266
Carex,vernacula,0.00042047711805248217
Carex,vesicaria,0.0071697239268074175
Carex,viridula,0.006472954586862867
Carex,vulpinoidea,0.0023113772664753963
Carex,whitneyi,0.0018156016250198918
Carex,xerantica,4.3614794138171665e-05
Carex,zikae,0.0005886970172684458
Cyperus,acuminatus,0.0012267826810276998
Cyperus,aggregatus,4.3614794138171665e-05
Cyperus,bipartitus,0.0019397355518592993
Cyperus,difformis,0.0006840225031524628
Cyperus,eragrostis,0.01166429894727017
Cyperus,erythrorhizos,0.004578136082179528
Cyperus,esculentus,0.002279261799048728
Cyperus,flavescens,5.16422226812642e-05
Cyperus,fuscus,0.00014080265354743732
Cyperus,niger,0.0005904561107281053
Cyperus,odoratus,0.00019244487622870152
Cyperus,retrorsus,4.554563672800146e-05
Cyperus,schweinitzii,0.00013663691018400438
Cyperus,squarrosus,0.005690780429575752
Cyperus,strigosus,0.003151420743682999
Dulichium,arundinaceum,0.006389992897836806
Eleocharis,acicularis,0.00953149635647333
Eleocharis,bella,0.0024299101855123806
Eleocharis,bolanderi,0.00019051403363887172
Eleocharis,coloradoensis,0.000258211113406321
Eleocharis,compressa,4.554563672800146e-05
Eleocharis,decumbens,0.0013702577267648557
Eleocharis,engelmannii,0.0013387084245551656
Eleocharis,macrostachya,0.010521822090980735
Eleocharis,mamillata,9.109127345600292e-05
Eleocharis,montevidensis,0.000258211113406321
Eleocharis,obtusa,0.009679271413514462
Eleocharis,ovata,0.002252484940916059
Eleocharis,pachycarpa,0.0008779177855814914
Eleocharis,palustris,0.010680523940190584
Eleocharis,parishii,0.0019865831501498696
Eleocharis,parvula,0.001106584661686831
Eleocharis,quadrangulata,0.00026168876482903
Eleocharis,quinqueflora,0.003104867945425084
Eleocharis,radicans,0.0004131377814501136
Eleocharis,rostellata,0.000778110991641672
Eleocharis,suksdorfiana,0.002007128573442975
Eriophorum,angustifolium,0.004546511141997
Eriophorum,brachyantherum,4.554563672800146e-05
Eriophorum,chamissonis,0.004379843804868213
Eriophorum,crinigerum,0.0016573621772505234
Eriophorum,gracile,0.004449592980360336
Eriophorum,vaginatum,4.554563672800146e-05
Eriophorum,virginicum,0.0008653670978320277
Eriophorum,viridicarinatum,9.109127345600292e-05
Isolepis,carinata,0.0003098533360875852
Isolepis,cernua,0.007066526625926324
Isolepis,levynsiana,0.0001549266680437926
Isolepis,pseudosetacea,0.00013663691018400438
Isolepis,setacea,0.0014637602792001913
Lipocarpha,aristulata,4.554563672800146e-05
Lipocarpha,drummondii,0.000501002004008016
Lipocarpha,micrantha,0.0005185932875972231
Lipocarpha,occidentalis,4.3614794138171665e-05
Rhynchospora,alba,0.004383130066679777
Rhynchospora,capitellata,0.0007460012774693019
Schoenoplectus,acutus,0.008668651339949467
Schoenoplectus,americanus,0.0028321240636190867
Schoenoplectus,californicus,0.0005744012536419203
Schoenoplectus,heterochaetus,0.00013470606759417457
Schoenoplectus,kuekenthalianus,0.00026941213518834914
Schoenoplectus,lacustris,9.109127345600292e-05
Schoenoplectus,mucronatus,0.0004955135344223
Schoenoplectus,pungens,0.006092727571573695
Schoenoplectus,subterminalis,0.002723260790767808
Schoenoplectus,tabernaemontani,0.0066228119215541205
Schoenoplectus,triqueter,0.0004913477910588671
Scirpus,acutus,9.109127345600292e-05
Scirpus,atrocinctus,0.0002674812925985194
Scirpus,atrovirens,4.554563672800146e-05
Scirpus,cernuus,4.554563672800146e-05
Scirpus,congdonii,0.008537125360913583
Scirpus,cyperinus,0.0021353862924952467
Scirpus,diffusus,0.000258211113406321
Scirpus,georgianus,0.0003585725660545223
Scirpus,microcarpus,0.032796600517201124
Scirpus,pallidus,0.0002277281836400073
Scirpus,pendulus,0.002872102670842154
Scirpus,pungens,4.554563672800146e-05
Trichophorum,alpinum,4.554563672800146e-05
Trichophorum,cespitosum,0.0018473642056791807
