binomial,count
Puccinellia distans,13
Puccinellia howellii,8
Puccinellia lemmonii,17
Puccinellia nutkaensis,7
Puccinellia nuttalliana,10
Puccinellia pumila,4
Rytidosperma penicillatum,59
Schismus barbatus,1
Sclerochloa dura,4
Scribneria bolanderi,48
Secale cereale,23
Setaria parviflora,5
Setaria pumila,6
Setaria viridis,28
Sorghum bicolor,2
Sorghum halepense,13
Spartina alterniflora,3
Spartina densiflora,36
Spartina foliosa,17
Spartina gracilis,1
Stipa cernua,6
Stipa comata,5
Stipa divaricata,1
Stipa exigua,1
Stipa hymenoides,14
Stipa latiglumis,1
Stipa lemmonii,357
Stipa lepida,29
Stipa lettermanii,11
Stipa manicata,9
Stipa miliacea,12
Stipa nelsonii,38
Stipa nevadensis,16
Stipa occidentalis,296
Stipa pinetorum,1
Stipa pulchra,71
Stipa purpurata,1
Stipa stillmanii,19
Stipa thurberiana,74
Stipa webberi,1
Torreyochloa erecta,4
Torreyochloa pallida,59
Trisetum canescens,202
Trisetum cernuum,82
Trisetum flavescens,3
Trisetum spicatum,75
Trisetum wolfii,5
Triticum aestivum,16
Tuctoria greenei,5
Vahlodea atropurpurea,11
Ventenata dubia,43
Zizania palustris,1
