binomial,count
Hesperolinon adenophyllum,71
Hesperolinon clevelandii,8
Hesperolinon disjunctum,28
Hesperolinon drymarioides,18
Hesperolinon micranthum,88
Hesperolinon spergulinum,13
Hesperolinon tehamense,70
Linum bienne,64
Linum grandiflorum,1
Linum lewisii,71
Linum perenne,1
Linum trigynum,5
Linum usitatissimum,11
Sclerolinon digynum,4
