,score,best_partitioning
Lycopus uniflorus,0.03144129175066465,1
Lamium purpureum,0.031297637856638943,1
Monardella odoratissima,0.04403041498040325,1
Scutellaria antirrhinoides,0.02991910543054715,1
Mentha pulegium,0.05622483502555615,1
Prunella vulgaris,0.15689047940473694,1
Stachys cooleyae,0.05806494302083257,1
Stachys rigida,0.0568510414034874,1
