binomial,count
Dryopteris arguta,18
Dryopteris austriaca,6
Dryopteris campyloptera,27
Dryopteris carthusiana,9
Dryopteris expansa,116
Dryopteris filix-mas,9
Dryopteris scopulina,1
Polystichum andersonii,15
Polystichum braunii,2
Polystichum californicum,13
Polystichum imbricans,30
Polystichum kruckebergii,17
Polystichum lemmonii,5
Polystichum lonchitis,47
Polystichum munitum,239
Polystichum scopulinum,8
