,score,best_partitioning
Crassula tillaea,0.03234767962182595,1
Sedum spathulifolium,0.22094712504264685,1
Sedum oregonense,0.11695170859311492,1
Sedum laxum,0.10331661523015734,1
Sedum stenopetalum,0.09409664524575506,1
Sedum divergens,0.07695541866223647,1
