,score,best_partitioning
Picea sitchensis,0.044795402775368455,1
Tsuga heterophylla,0.08122516161315116,1
Pseudotsuga menziesii,0.1982588754387961,1
Abies grandis,0.0650437719097453,1
Pinus contorta,0.10726881305466107,1
Pinus ponderosa,0.06199004778520295,1
