genus,best_partitioning,values
Sagina,1,0.05070826657473887
Eremogone,1,0.055934655520263
Spergularia,1,0.05729109690070552
Moehringia,1,0.06037706070702252
Stellaria,2,0.1480213547707716
Cerastium,2,0.15996055348429045
Silene,2,0.22649994517762204
