genus,best_partitioning,values
Lotus,1,0.01871896088875587
Medicago,1,0.02658249996319469
Hosackia,1,0.0327939788288522
Astragalus,1,0.03388398500523739
Acmispon,1,0.05359747629551859
Vicia,3,0.10059383141719147
Lathyrus,3,0.10665082367613424
Cytisus,3,0.10926585656912337
Lupinus,5,0.2007693917890916
Trifolium,5,0.22393327059438445
