,score,best_partitioning
Digitalis purpurea,0.04805862511520604,1
Collinsia parviflora,0.05418865571925949,1
Plantago lanceolata,0.08495413694397384,1
Plantago major,0.03844498659311667,1
Veronica americana,0.03812536552780346,1
Veronica serpyllifolia,0.029966989322852893,1
Penstemon davidsonii,0.02312666828776477,1
Penstemon procerus,0.022007725537397764,1
