genus,best_partitioning,values
Conium,1,0.03873143895454738
Torilis,1,0.039735058374911716
Perideridia,1,0.04066024412230614
Ligusticum,1,0.04399698533879411
Heracleum,1,0.04814639107106766
Angelica,1,0.05208445204093662
Osmorhiza,1,0.08659291241102621
Daucus,1,0.09026394038622167
Sanicula,2,0.10272481687736605
Lomatium,4,0.2638373055282038
