,score,best_partitioning
Chamerion angustifolium,0.10065205645401394,1
Clarkia amoena,0.03507874696558079,1
Epilobium ciliatum,0.12156601088427775,1
Epilobium brachycarpum,0.08638112883947792,1
Epilobium minutum,0.06344779427075146,1
