genus,best_partitioning,values
Dactylis,1,0.015485497043904775
Melica,1,0.01776091623539674
Holcus,1,0.01949890599066532
Deschampsia,1,0.019741330896265123
Alopecurus,1,0.020095439972529078
Schedonorus,1,0.022315383088104615
Achnatherum,1,0.03300596033668747
Elymus,1,0.04682444325905317
Festuca,1,0.055337286120390954
Aira,1,0.0625025783587933
Phalaris,2,0.06783531004393367
Poa,2,0.06796190081409437
Bromus,2,0.08059666909673963
Agrostis,5,0.2121790796592726
