genus,best_partitioning,values
Actaea,1,0.04361482365715908
Caltha,1,0.05110876207614874
Aquilegia,1,0.06882797219311469
Anemone,1,0.13520722339849703
Delphinium,2,0.1609600650895267
Ranunculus,4,0.36364949419670817
