genus,best_partitioning,values
Monotropa,1,0.02584682617549929
Phyllodoce,1,0.02900343996716417
Chimaphila,1,0.0542755414390497
Arbutus,1,0.056452502730880795
Pyrola,1,0.06277966307604525
Gaultheria,1,0.08987512510843652
Rhododendron,1,0.10113959707743136
Vaccinium,3,0.21703023084056028
Arctostaphylos,3,0.21765812111445493
