,score,best_partitioning
Microsteris gracilis,0.1088269324140011,1
Polemonium carneum,0.030600232798522108,1
Phlox diffusa,0.06345078825234797,1
Navarretia intertexta,0.039013819750412314,1
Collomia heterophylla,0.07633973878990033,1
