binomial,count
Eucephalus ledophyllus,133
Eucephalus paucicapitatus,1
Eucephalus tomentellus,26
Eucephalus vialis,34
Euchiton gymnocephalus,8
Euchiton japonicus,5
Euchiton sphaericus,18
Eupatorium californicum,1
Eurybia merita,16
Eurybia radulina,66
Euthamia graminifolia,1
Euthamia occidentalis,37
Filago pyramidata,1
Filago vulgaris,1
Gaillardia aristata,23
Gaillardia pulchella,1
Galinsoga parviflora,3
Galinsoga quadriradiata,3
Gamochaeta purpurea,33
Gamochaeta ustulata,75
Gamocheta purpurea,1
Glebionis segetum,4
Glyptopleura marginata,3
Gnaphalium affine,2
Gnaphalium palustre,73
Gnaphalium uliginosum,33
Grindelia hirsutula,135
Grindelia integrifolia,62
Gutierrezia sarothrae,1
Hazardia whitneyi,9
Helenium autumnale,37
Helenium bigelovii,73
Helenium bolanderi,31
Helenium puberulum,4
Helianthella californica,1
Helianthella quinquenervis,2
Helianthella uniflora,6
Helianthus annuus,14
Helianthus bolanderi,7
Helianthus cusickii,2
Helianthus maximiliani,1
Helianthus petiolaris,2
Helianthus tuberosus,3
Helichrysum petiolare,1
Helminthotheca echioides,21
Hemizonella minima,80
Hemizonia congesta,11
Hesperevax acaulis,6
Hesperevax sparsiflora,5
Heterotheca oregona,35
Heterotheca villosa,37
Hieracium alberinum,2
Hieracium albiflorum,162
Hieracium ambiguum,4
Hieracium aurantiacum,10
Hieracium bolanderi,22
Hieracium caespitosum,1
Hieracium diaphanum,1
Hieracium greenei,26
Hieracium horridum,6
Hieracium howellii,1
Hieracium lachenalii,9
Hieracium longiberbe,16
Hieracium murorum,5
Hieracium nudicaule,4
Hieracium parryi,57
Hieracium pilosella,6
Hieracium scouleri,174
Hieracium triste,58
Hieracium umbellatum,5
Hieracium vulgatum,4
Hoorebekia curvata,1
Hulsea nana,64
Hymenoxys hoopesii,3
Hypochaeris glabra,37
Hypochaeris radicata,97
Inula helenium,21
Ionactis alpina,2
Iva axillaris,26
Jacobaea maritima,3
Jaumea carnosa,23
Kyhosia bolanderi,24
Kyshosia bolanderi,1
Lactuca biennis,27
Lactuca canadensis,4
Lactuca saligna,25
Lactuca sativa,1
Lactuca serriola,33
Lagophylla ramosissima,44
Lapsana communis,47
Lapsanastrum apogonoides,4
Lasthenia californica,34
Lasthenia glaberrima,32
Lasthenia gracilis,1
Lasthenia maritima,9
Lasthenia ornduffii,26
Layia carnosa,1
Layia fremontii,2
Layia glandulosa,17
Leontodom saxatilis,1
Leontodon autumnalis,3
Leontodon saxatilis,39
Leucanthemum maximum,3
Leucanthemum superbum,3
Leucanthemum vulgare,85
Logfia gallica,14
Logfia minima,3
Luina hypoleuca,50
Madia citriodora,11
Madia corymbosa,1
Madia elegans,96
Madia exigua,91
Madia glomerata,63
Madia gracilis,129
Madia sativa,48
Malacothrix torreyi,3
Matricaria chamomilla,2
Matricaria discoidea,45
Matricaria occidentalis,1
Matricatia discoidea,1
Micropus californicus,79
Microseris acuminata,4
Microseris bigelovii,17
Microseris borealis,34
Microseris detlingii,2
Microseris douglasii,2
Microseris howellii,39
Microseris laciniata,201
Microseris nutans,67
Mulgedium oblongifolium,8
Mulgedium pulchellum,3
Mycelis muralis,27
Nabalus hastatus,16
Nestotus stenophyllus,8
Nothocalais alpestris,100
Nothocalais troximoides,25
Oncosiphon suffruticosum,5
Onopordum acanthium,4
Onopordum tauricum,4
Oreostemma alpigenum,109
Packera bolanderi,159
Packera cana,101
Packera cymbalaria,2
Packera eurycephala,7
Packera flettii,13
Packera hesperia,24
Packera hybrid,1
Packera macounii,96
Packera paupercula,1
Packera pseudaurea,47
Packera streptanthifolia,22
Packera subnuda,31
Petasites fragrans,7
