binomial,count
Equisetum arvense,62
Equisetum ferrissii,17
Equisetum fluviatile,19
Equisetum giganteum,3
Equisetum hyemale,46
Equisetum laevigatum,26
Equisetum litorale,1
Equisetum maximum,1
Equisetum palustre,4
Equisetum telmateia,90
Equisetum variegatum,2
