"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","316061","Lamiaceae","Stachys cooleyae","great betony, Cooley's hedgenettle","Salix Associates","","9 September 2006","2006","Lane","Spring Prairie","43.8205","-122.2194","1433","","","Stachys cooleyae A. Heller "
"observation","331153","Lamiaceae","Lamium purpureum","deadnettle","Wilson, B.","","26 April 2008","2008","Lincoln","Waldport","44.4248","-124.0685","0","","","Lamium purpureum L. "
"observation","369436","Lamiaceae","Stachys cooleyae","great betony, Cooley's hedgenettle","Harvey, T.","","2004 - 2011","2004","Douglas","Hemlock Lake","43.1770","-122.7063","1356","","","Stachys cooleyae A. Heller "
"observation","321618","Lamiaceae","Nepeta cataria","catnip, catmint","Otting, N., Mitchell, K., Wilson, B.","","7 June 2007","2007","Sherman","Gordon Ridge Road, stop 1","45.6055","-120.8467","306","","","Nepeta cataria L. "
"observation","413882","Lamiaceae","Prunella vulgaris var. vulgaris","self heal, heal all","Brainerd, R., Newhouse, B.","","2010","2010","Lane","Fall Creek Reservoir","43.9515","-122.7030","209","","","Prunella vulgaris L. var. vulgaris "
"observation","309368","Lamiaceae","Prunella vulgaris var. lanceolata","native heal all","Newhouse, B., Alverson, E.","","2003 - 2006","2003","Lane","Lower Coyote Creek","44.1320","-123.2851","","","","Prunella vulgaris L. var. lanceolata (W.P.C. Barton) Fernald "
"image","dig25877","Lamiaceae","Salvia dorrii var. incana","fleshy sage","Gerald D. Carr","","July 7, 2010","2010","Wheeler","Highway 207, 6.0 mi. north of jct. with Highway 26, north of Mitchell; 1074m","44.6288","-120.1076","1074","","","Salvia dorrii (Kellogg) Abrams var. incana (Benth.) Strachan "
"observation","367141","Lamiaceae","Stachys rigida","rigid betony, rigid hedgenettle","Harvey, T.","","2004 - 2013","2004","Douglas","Buck Canyon","43.0762","-122.4105","1359","","","Stachys rigida Nutt. ex Benth. "
"observation","298727","Lamiaceae","Nepeta cataria","catnip, catmint","Brainerd, R., Otting, N., Wilson, B.","","11 July 2005","2005","Wheeler","Service Creek","44.8090","-120.0196","573","","","Nepeta cataria L. "
"observation","414161","Lamiaceae","Melissa officinalis","garden balm, lemon balm","Brainerd, R., Newhouse, B.","","2007","2007","Lane","Andrew Reasoner Wildlife Preserve, Lorane Highway","43.9599","-123.2088","158","","","Melissa officinalis L. "
"observation","414185","Lamiaceae","Satureja douglasii","yerba buena","Brainerd, R., Newhouse, B.","","2007","2007","Lane","Andrew Reasoner Wildlife Preserve, Lorane Highway","43.9599","-123.2088","158","","","Satureja douglasii (Benth.) Briq. "
"observation","365569","Lamiaceae","Agastache urticifolia var. urticifolia","nettle leaved horsemint, nettle leaved giant hyssop","Bluhm, W., Bluhm, J.","","19 June 2009","2009","Crook","Lookout Mountain, Crook County","44.3270","-120.3761","1798","","","Agastache urticifolia (Benth.) Kuntze var. urticifolia "
"observation","286705","Lamiaceae","Mentha pulegium","pennyroyal","Wilson, B., Brainerd, R., Newhouse, B.","","2005","2005","Douglas","I-5, mile 140 to 141","43.4391","-123.3185","","","","Mentha pulegium L. "
"observation","294170","Lamiaceae","Scutellaria lateriflora","mad dog skullcap, hoodwort","Heinze, D.","","27 April 2005","2005","Josephine","Illinois River Canyon","42.3812","-123.8069","276","forest, herbland, savanna","","Scutellaria lateriflora L. "
"observation","368128","Lamiaceae","Prunella vulgaris","common selfheal","Harvey, T.","","2005 - 2012","2005","Lane","Fall Creek Trail","43.9825","-122.5007","396","","","Prunella vulgaris L. "
"observation","421535","Lamiaceae","Satureja douglasii","yerba buena","Harvey, T.","","2013","2013","Lane","Cougar Reservoir","44.0964","-122.2370","510","","","Satureja douglasii (Benth.) Briq. "
"image","dig25875","Lamiaceae","Salvia dorrii var. incana","fleshy sage","Gerald D. Carr","","July 6, 2010","2010","Wheeler","Highway 207, 6.0 mi. north of jct. with Highway 26, north of Mitchell; 1074m","44.6288","-120.1076","1074","","","Salvia dorrii (Kellogg) Abrams var. incana (Benth.) Strachan "
"observation","205533","Lamiaceae","Prunella vulgaris var. vulgaris","self heal, heal all","Bluhm, W.","","2003","2003","Marion","Minto-Brown Island Park: Bluhm 2003","44.9236","-123.0722","","","","Prunella vulgaris L. var. vulgaris "
"observation","415780","Lamiaceae","Prunella vulgaris var. lanceolata","native heal all","Newhouse, B.","","2007","2007","Benton","Dimple Hill, OSU Prairie","44.6143","-123.3184","454","","","Prunella vulgaris L. var. lanceolata (W.P.C. Barton) Fernald "
"observation","203355","Lamiaceae","Stachys rigida","rigid betony, rigid hedgenettle","Harvey, T.","","2003 - 2011","2003","Lane","Olallie Mountain","44.0335","-122.0706","1384","","","Stachys rigida Nutt. ex Benth. "
"observation","201322","Lamiaceae","Stachys rigida","rigid betony, rigid hedgenettle","Harvey, T.","","2003 - 2005","2003","Linn","Crescent Mountain: Harvey","44.4399","-122.0586","1140","","","Stachys rigida Nutt. ex Benth. "
"observation","383795","Lamiaceae","Mentha pulegium","pennyroyal","Wilson, B.","","27 September 2009","2009","Benton","Finley National Wildlife Refuge, Mill Hill Loop, Headquarters, Woodpecker Loop","44.4096","-123.3248","","","","Mentha pulegium L. "
"observation","406971","Lamiaceae","Prunella vulgaris","common selfheal","Wilson, B.","","28 February 2012","2012","Benton","Peavy Arboretum","44.6564","-123.2329","114","","","Prunella vulgaris L. "
