"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"image","dig13174","Phrymaceae","Erythranthe alsinoides","chickweed monkeyflower","Keir Morse","","March 29, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I019; 42.2933449906&#176; N -123.655766634&#176; W","42.2933","-123.6558","","","","Erythranthe alsinoides (Douglas ex Benth.) G.L. Nesom & N.S. Fraga "
"observation","225736","Phrymaceae","Erythranthe guttata","common monkeyflower, seep monkeyflower","Mt. Hood NF botanist","","15 July 2004","2004","Clackamas","west end of West Goodfellow Lake; 02S 07E 05 NW SE","45.4240","-121.9740","878","","","Erythranthe guttata (Fisch. ex DC.) G.L. Nesom "
"observation","367207","Phrymaceae","Erythranthe breweri","Brewer's monkeyflower","Harvey, T.","","2004 - 2011","2004","Douglas","BVD Meadow and Trail","43.2203","-122.5678","1402","","","Erythranthe breweri (Greene) G.L. Nesom & N.S. Fraga "
"observation","423001","Phrymaceae","Erythranthe alsinoides","chickweed monkeyflower","Harvey, T.","","2011","2011","Lane","Mosaic Rock","43.4808","-122.4539","1036","","","Erythranthe alsinoides (Douglas ex Benth.) G.L. Nesom & N.S. Fraga "
"image","dig34407","Phrymaceae","Erythranthe primuloides","primrose monkeyflower","Tanya Harvey","","August 9, 2009","2009","Douglas","Hershberger Mountain","43.0356","-122.4536","","","","Erythranthe primuloides (Benth.) G.L. Nesom & N.S. Fraga "
"observation","403451","Phrymaceae","Erythranthe alsinoides","chickweed monkeyflower","Moore, J., Kirby, M., Glenn, T., Thomas, B., Moore, F.","","13 June 2012","2012","Douglas","Grotto Falls, Little River - 2012","43.2485","-122.8255","905","","","Erythranthe alsinoides (Douglas ex Benth.) G.L. Nesom & N.S. Fraga "
"image","dig25088","Phrymaceae","Diplacus douglasii","Douglas monkeyflower","Gerald D. Carr","","April 27, 2010","2010","Douglas","Beatty Creek, west of,  Cow Creek Road; 42.91788&#176; N -123.45954&#176; W","42.9179","-123.4595","","","","Diplacus douglasii (Benth.) G.L. Nesom "
"observation","202089","Phrymaceae","Erythranthe breweri","Brewer's monkeyflower","Harvey, T.","","1 July 2003","2003","Lane","Sardine Butte: Harvey","43.9741","-122.2958","1524","","","Erythranthe breweri (Greene) G.L. Nesom & N.S. Fraga "
"image","dig38645","Phrymaceae","Diplacus aurantiacus","bush monkeyflower","Gerald D. Carr","","May 7, 2014","2014","Curry","Steep slope on E side of Hwy 101, 0.9 mi. NW of jct. with Carpenterville Rd.; 55m; 42.0851&#176; N -124.32643&#176; W","42.0851","-124.3264","55","","","Diplacus aurantiacus (Curtis) Jeps. "
"image","dig42455","Phrymaceae","Diplacus cusickii","Cusick's monkeyflower","Paul Slichter","","June 30, 2010","2010","Wheeler","Roadside ditch along Oregon Highway #19 at Shady Grove Rest Area between Kimberly and Spray, Oregon; 547m; T09S R25E S04","44.8125","-119.7197","547","","","Diplacus cusickii (Greene) G.L. Nesom "
"image","dig34405","Phrymaceae","Erythranthe primuloides","primrose monkeyflower","Tanya Harvey","","July 24, 2008","2008","Douglas","Fish Creek Valley","43.1175","-122.3847","","","","Erythranthe primuloides (Benth.) G.L. Nesom & N.S. Fraga "
"image","dig25097","Phrymaceae","Erythranthe floribunda","purple stemmed monkeyflower","Gerald D. Carr","","July 5, 2010","2010","Gilliam","Highway 19, 0.4 mi. north of junction with Upper Rock Creek Road, north of Olex; 338m; 45.5061&#176; N -120.17649&#176; W","45.5061","-120.1765","338","","","Erythranthe floribunda (Douglas ex Lindl.) G.L. Nesom "
"observation","360947","Phrymaceae","Erythranthe alsinoides","chickweed monkeyflower","Bluhm, W., Native Plant Society of Oregon","","2005","2005","Douglas","Cedar Springs Mountain","42.7629","-123.1220","","","","Erythranthe alsinoides (Douglas ex Benth.) G.L. Nesom & N.S. Fraga "
"image","dig13198","Phrymaceae","Erythranthe floribunda","purple stemmed monkeyflower","Keir Morse","","July 31, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I178; 42.2730625461&#176; N -123.635062318&#176; W","42.2731","-123.6351","","","","Erythranthe floribunda (Douglas ex Lindl.) G.L. Nesom "
"image","dig21337","Phrymaceae","Mazus pumilus","Japanese mazus","Gerald D. Carr","","September 2, 2009","2009","Wasco","east side of mouth of Threemile Creek, 0.43 air mi. west of junction of Lone Pine Drive and Highway 197; 24m; 45.60409&#176; N -121.14705&#176; W","45.6041","-121.1470","24","","","Mazus pumilus (Burm. f.) Steenis "
"observation","372481","Phrymaceae","Erythranthe breweri","Brewer's monkeyflower","Harvey, T.","","2003 - 2014","2003","Lane","Hell's Half Acre/Verdun Rock","43.6635","-122.1823","1356","","","Erythranthe breweri (Greene) G.L. Nesom & N.S. Fraga "
"image","dig21390","Phrymaceae","Erythranthe primuloides","primrose monkeyflower","Gerald D. Carr","","August 21, 2009","2009","Deschutes","Three Creek Meadow, off NFD Road 16, ca. 15.6 mi. south of Sisters; 1923m; 44.11493&#176; N -121.62551&#176; W","44.1149","-121.6255","1923","","","Erythranthe primuloides (Benth.) G.L. Nesom & N.S. Fraga "
"observation","299494","Phrymaceae","Erythranthe alsinoides","chickweed monkeyflower","Harvey, T.","","2003 - 2012","2003","Lane","Bearbones Mountain","43.5488","-122.5184","1204","","","Erythranthe alsinoides (Douglas ex Benth.) G.L. Nesom & N.S. Fraga "
"image","dig25079","Phrymaceae","Erythranthe breweri","Brewer's monkeyflower","Gerald D. Carr","","August 13, 2010","2010","Douglas","NFD Road 2133, 0.4 mi. E of Loletta Lakes, ca. 35 mi. S of Oakridge via Rigdon Rd.; 1631m","43.3963","-122.4285","1631","","","Erythranthe breweri (Greene) G.L. Nesom & N.S. Fraga "
"observation","369079","Phrymaceae","Erythranthe breweri","Brewer's monkeyflower","Harvey, T.","","2006 - 2013","2006","Lane","Heckletooth Mountain","43.7466","-122.3622","759","","","Erythranthe breweri (Greene) G.L. Nesom & N.S. Fraga "
"observation","373186","Phrymaceae","Erythranthe primuloides","primrose monkeyflower","Harvey, T.","","2003 - 2004","2003","Lane","Potholes/Olallie Trail","44.0781","-122.0708","1384","","","Erythranthe primuloides (Benth.) G.L. Nesom & N.S. Fraga "
"observation","303609","Phrymaceae","Erythranthe primuloides","primrose monkeyflower","Brainerd, R., Newhouse, B.","","1 September 2005","2005","Lane","Meadow south-southeast of Deer Creek Trailhead","43.5885","-122.0919","1593","","","Erythranthe primuloides (Benth.) G.L. Nesom & N.S. Fraga "
"image","dig22877","Phrymaceae","Erythranthe primuloides","primrose monkeyflower","Tanya Harvey","","August 26, 2010","2010","Douglas","Hills Peak","43.4056","-122.1892","","","","Erythranthe primuloides (Benth.) G.L. Nesom & N.S. Fraga "
"image","dig41414","Phrymaceae","Diplacus congdonii","Congdon's monkeyflower","Gerald D. Carr","","April 16, 2015","2015","Jackson","Sensitive species - location undisclosed","42.2000","-123.1000","648","","","Diplacus congdonii (B.L. Rob.) G.L. Nesom "
"observation","368855","Phrymaceae","Erythranthe primuloides","primrose monkeyflower","Harvey, T.","","2006 - 2013","2006","Lane","Gold Lake and Bog","43.6380","-122.0379","1467","","","Erythranthe primuloides (Benth.) G.L. Nesom & N.S. Fraga "
"observation","320165","Phrymaceae","Erythranthe primuloides","primrose monkeyflower","Brainerd, R., Otting, N., Wilson, B.","","16 May 2007","2007","Klamath","Crescent Creek S of La Pine","43.5307","-121.6535","1311","","","Erythranthe primuloides (Benth.) G.L. Nesom & N.S. Fraga "
"image","dig13173","Phrymaceae","Erythranthe alsinoides","chickweed monkeyflower","Keir Morse","","March 29, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I019; 42.2933449906&#176; N -123.655766634&#176; W","42.2933","-123.6558","","","","Erythranthe alsinoides (Douglas ex Benth.) G.L. Nesom & N.S. Fraga "
"image","dig38649","Phrymaceae","Diplacus aurantiacus","bush monkeyflower","Gerald D. Carr","","May 7, 2014","2014","Curry","Steep slope on E side of Hwy 101, 0.9 mi. NW of jct. with Carpenterville Rd.; 55m; 42.0851&#176; N -124.32643&#176; W","42.0851","-124.3264","55","","","Diplacus aurantiacus (Curtis) Jeps. "
"observation","365841","Phrymaceae","Erythranthe alsinoides","chickweed monkeyflower","Harvey, T.","","2004 - 2008","2004","Lane","Alpine Trail, including Buckhead Mountain","43.8171","-122.4996","914","","","Erythranthe alsinoides (Douglas ex Benth.) G.L. Nesom & N.S. Fraga "
