"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","354513","Melanthiaceae","Trillium ovatum ssp. ovatum","western trillium, western wakerobin","Wilson, B., Otting, N.","","11 July 2008","2008","Douglas","Susan Creek Falls day use area","43.2986","-122.9051","291","","","Trillium ovatum Pursh ssp. ovatum "
"observation","299743","Melanthiaceae","Trillium ovatum","western trillium","Harvey, T.","","2003 - 2012","2003","Lane","Youngs Rock Trail","43.5349","-122.4005","610","","","Trillium ovatum Pursh "
"image","dig29362","Melanthiaceae","Veratrum insolitum","Siskiyou false-hellebore","Gerald D. Carr","","July 27, 2011","2011","Polk","Bickleton Highway, 5.2 mi. southwest of Cleveland, northwest of Goldendale; 861m","44.9240","-123.6047","861","","","Veratrum insolitum Jeps. "
"observation","354233","Melanthiaceae","Veratrum californicum","false-hellebore","Wilson, B., Otting, N.","","11 July 2008","2008","Lake","Creek associated with spur road 3915-022","42.0752","-120.1631","1827","","","Veratrum californicum Durand "
"observation","369824","Melanthiaceae","Xerophyllum tenax","bear-grass, western turkeybeard, beargrass","Harvey, T.","","2013","2013","Linn","Ikenick Creek","44.3672","-122.1400","1030","","","Xerophyllum tenax (Pursh) Nutt. "
"observation","316069","Melanthiaceae","Veratrum insolitum","Siskiyou false-hellebore","Salix Associates","","9 September 2006","2006","Lane","Spring Prairie","43.8205","-122.2194","1433","","","Veratrum insolitum Jeps. "
"observation","378845","Melanthiaceae","Veratrum viride","","Harvey, T.","","2009 - 2013","2009","Lane","Warfield Bog and Wetlands","43.6347","-122.2423","1494","","","Veratrum viride Aiton "
"image","dig29365","Melanthiaceae","Veratrum insolitum","Siskiyou false-hellebore","Gerald D. Carr","","July 27, 2011","2011","Polk","Bickleton Highway, 5.2 mi. southwest of Cleveland, northwest of Goldendale; 861m","44.9240","-123.6047","861","","","Veratrum insolitum Jeps. "
"observation","405026","Melanthiaceae","Trillium ovatum","western trillium","Wilson, B.","","1 May 2011","2011","Lincoln","Burnt Woods State Forest 8: 1.75 mi. W of Harlan-Burnt Woods Road at fork","44.5953","-123.6800","394","","","Trillium ovatum Pursh "
"observation","358275","Melanthiaceae","Xerophyllum tenax","bear-grass, western turkeybeard, beargrass","Wilson, B., Otting, N.","","19 September 2008","2008","Douglas","Road to Upper Elk Meadow","43.5278","-122.8999","1287","","","Xerophyllum tenax (Pursh) Nutt. "
"observation","369957","Melanthiaceae","Trillium ovatum","western trillium","Harvey, T.","","2004 - 2006","2004","Lane","Indian Ridge","43.9883","-122.2538","1648","","","Trillium ovatum Pursh "
