"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","194115","Gentianaceae","Gentiana sceptrum","king's gentian, staff gentian","Bluhm, W., Myers, E.","","2003","2003","Wasco","Trapper Spring Meadows","44.9765","-121.7935","1140","","","Gentiana sceptrum Griseb. "
"image","dig16584","Gentianaceae","Zeltnera muehlenbergii","Monterey centaury, Muehlenberg's centaury","Gerald D. Carr","","July 11, 2008","2008","Linn","Kingston Prairie, Kingston-Lyons Dr. SE, 1.7 mi. east of Kingston; 44.77955&#176; N -122.74021&#176; W","44.7796","-122.7402","","","","Zeltnera muehlenbergii (Griseb.) Mansion "
"image","dig34376","Gentianaceae","Gentiana calycosa","explorer's gentian, mountain bog gentian","Tanya Harvey","","August 14, 2013","2013","Douglas","Fish Creek Valley; 43.09002&#176; N -122.41768&#176; WT28S R04E S30","43.0900","-122.4177","","","","Gentiana calycosa Griseb. "
"observation","357923","Gentianaceae","Frasera umpquaensis","Umpqua frasera","Wilson, B., Otting, N.","","18 September 2008","2008","Douglas","Sensitive species - location undisclosed","42.9000","-122.6000","1576","","","Frasera umpquaensis M. Peck & Applegate "
"observation","383767","Gentianaceae","Centaurium erythraea","common centaury, European centaury","Wilson, B.","","27 September 2009","2009","Benton","Finley National Wildlife Refuge, Mill Hill Loop, Headquarters, Woodpecker Loop","44.4096","-123.3248","","","","Centaurium erythraea Rafn "
"observation","322416","Gentianaceae","Centaurium erythraea","common centaury, European centaury","Otting, N., Wilson, B.","","21 June 2007","2007","Douglas","Lee Creek Road and I-5","43.6583","-123.2046","146","","","Centaurium erythraea Rafn "
"observation","192378","Gentianaceae","Gentiana sceptrum","king's gentian, staff gentian","Bluhm, W.","","2002","2002","Clackamas","Marcia's Fen","45.2373","-122.3635","457","","","Gentiana sceptrum Griseb. "
"observation","402983","Gentianaceae","Centaurium erythraea","common centaury, European centaury","Newhouse, B.","","2011","2011","Lane","Confluence of Middle and Coast Forks Willamette River and S side of Middle Fork","44.0219","-122.9750","136","","","Centaurium erythraea Rafn "
"image","dig43241","Gentianaceae","Gentiana affinis","pleated gentian, prairie gentian","Bruce Neil Newhouse","","September 3, 2008","2008","Curry","Otter Point","42.4628","-124.4261","","","","Gentiana affinis Griseb. "
"observation","321241","Gentianaceae","Frasera albicaulis","whitestem frasera","Wilson, B.","","21 May 2007","2007","Crook","Lookout Pasture, north edge","44.3239","-120.2366","1394","","","Frasera albicaulis Griseb. "
"observation","403523","Gentianaceae","Cicendia quadrangularis","timwort","ORBIC","","15 April 2007","2007","Curry","Sensitive species - location undisclosed","42.5000","-124.0000","61","","","Cicendia quadrangularis (Lam.) Griseb. "
"image","dig20953","Gentianaceae","Gentiana newberryi var. newberryi","Newberry's gentian","Gerald D. Carr","","August 21, 2009","2009","Deschutes","Sensitive species - location undisclosed","44.1000","-121.6000","1923","","","Gentiana newberryi A. Gray var. newberryi "
"observation","302077","Gentianaceae","Gentiana calycosa","explorer's gentian, mountain bog gentian","Harvey, T.","","2004 - 2011","2004","Clackamas","Table Rock Wilderness Trail","44.9633","-122.3238","1036","","","Gentiana calycosa Griseb. "
"image","dig43236","Gentianaceae","Gentiana affinis","pleated gentian, prairie gentian","Bruce Neil Newhouse","","September 3, 2008","2008","Curry","Otter Point","42.4628","-124.4261","","","","Gentiana affinis Griseb. "
"observation","328238","Gentianaceae","Gentiana setigera","elegant gentian, Mendocino gentian","Morse, K.","","20 July 2007","2007","Josephine","Sensitive species - location undisclosed","42.3000","-123.6000","382","","","Gentiana setigera A. Gray "
"image","dig38805","Gentianaceae","Frasera umpquaensis","Umpqua frasera","Gerald D. Carr","","July 30, 2014","2014","Douglas","Sensitive species - location undisclosed","43.5000","-122.9000","1295","","","Frasera umpquaensis M. Peck & Applegate "
"observation","357863","Gentianaceae","Frasera umpquaensis","Umpqua frasera","Wilson, B., Otting, N.","","18 September 2008","2008","Douglas","Sensitive species - location undisclosed","42.9000","-122.6000","1574","","","Frasera umpquaensis M. Peck & Applegate "
"observation","407902","Gentianaceae","Frasera albicaulis","whitestem frasera","Wilson, B., Otting, N.","","26 June 2012","2012","Lake","Hill Camp near Big Hole Reservoir","42.0529","-119.7006","1885","","","Frasera albicaulis Griseb. "
"observation","306280","Gentianaceae","Centaurium erythraea","common centaury, European centaury","Wilson, B., Brainerd, R.","","10 August 2006","2006","Benton","Rock Creek Watershed: end of road 3909","44.5264","-123.4924","","","","Centaurium erythraea Rafn "
"observation","307396","Gentianaceae","Centaurium erythraea","common centaury, European centaury","Wilson, B., Brainerd, R.","","15 August 2006","2006","Benton","Rock Creek Watershed: base of road to Griffith Creek just inside gate","44.5047","-123.4558","","","","Centaurium erythraea Rafn "
"image","dig12571","Gentianaceae","Gentiana setigera","elegant gentian, Mendocino gentian","Keir Morse","","July 20, 2007","2007","Josephine","Sensitive species - location undisclosed","42.3000","-123.6000","","","","Gentiana setigera A. Gray "
"observation","305443","Gentianaceae","Centaurium erythraea","common centaury, European centaury","Wilson, B.","","11 July 2006","2006","Lane","Kloster Mountain","43.8676","-122.8419","509","","","Centaurium erythraea Rafn "
"observation","416126","Gentianaceae","Centaurium erythraea","common centaury, European centaury","Newhouse, B.","","2007","2007","Benton","Homestead #3, OSU Prairie","44.6181","-123.3404","300","","","Centaurium erythraea Rafn "
"image","dig24411","Gentianaceae","Gentiana setigera","elegant gentian, Mendocino gentian","Gerald D. Carr","","September 7, 2010","2010","Josephine","Sensitive species - location undisclosed","42.1000","-123.7000","462","","","Gentiana setigera A. Gray "
"image","dig16594","Gentianaceae","Cicendia quadrangularis","timwort","Gerald D. Carr","","June 10, 2008","2008","Lane","Sensitive species - location undisclosed","44.0000","-123.2000","","","","Cicendia quadrangularis (Lam.) Griseb. "
"observation","296016","Gentianaceae","Centaurium erythraea","common centaury, European centaury","Otting, N., Wilson, B.","","30 August 2005","2005","Multnomah","Bull Run Watershed: at end of road 2000120 by North Fork Bull Run River","45.5149","-122.0341","549","","","Centaurium erythraea Rafn "
"observation","351003","Gentianaceae","Cicendia quadrangularis","timwort","ORBIC","","15 May 2002","2002","Lane","Sensitive species - location undisclosed","44.0000","-122.9000","","","","Cicendia quadrangularis (Lam.) Griseb. "
"observation","307929","Gentianaceae","Centaurium erythraea","common centaury, European centaury","Wilson, B., Brainerd, R.","","15 August 2006","2006","Benton","Rock Creek Watershed: end of road 3406-112","44.5049","-123.4746","","","","Centaurium erythraea Rafn "
"observation","141149","Gentianaceae","Zeltnera muehlenbergii","Monterey centaury, Muehlenberg's centaury","Heinze, D.","","16 June 2002","2002","Josephine","Fish Hatchery Park","42.3574","-123.4210","293","herbland, savanna, shrubland","","Zeltnera muehlenbergii (Griseb.) Mansion "
"observation","296360","Gentianaceae","Centaurium erythraea","common centaury, European centaury","Otting, N., Wilson, B.","","31 August 2005","2005","Multnomah","Bull Run Watershed: intersection of roads 12 and 1210","45.4621","-122.0791","527","","","Centaurium erythraea Rafn "
"observation","350800","Gentianaceae","Cicendia quadrangularis","timwort","ORBIC","","23 May 2003","2003","Lane","Sensitive species - location undisclosed","44.1000","-123.2000","","","","Cicendia quadrangularis (Lam.) Griseb. "
"observation","383836","Gentianaceae","Centaurium erythraea","common centaury, European centaury","Wilson, B., Zika, P.","","2010","2010","Benton","Belden Creek Road property","44.6492","-123.3099","194","","","Centaurium erythraea Rafn "
"image","dig38804","Gentianaceae","Frasera umpquaensis","Umpqua frasera","Gerald D. Carr","","July 30, 2014","2014","Douglas","Sensitive species - location undisclosed","43.5000","-122.9000","1295","","","Frasera umpquaensis M. Peck & Applegate "
"observation","367895","Gentianaceae","Frasera umpquaensis","Umpqua frasera","Harvey, T.","","2004 - 2011","2004","Douglas","Sensitive species - location undisclosed","42.9000","-122.6000","1554","","","Frasera umpquaensis M. Peck & Applegate "
"observation","374476","Gentianaceae","Gentiana sceptrum","king's gentian, staff gentian","Harvey, T.","","2003 - 2013","2003","Linn","Bruno Meadows: Harvey","44.6477","-122.0028","1244","","","Gentiana sceptrum Griseb. "
"observation","330247","Gentianaceae","Centaurium erythraea","common centaury, European centaury","Wilson, B., Brainerd, R., Newhouse, B., Otting, N.","","4 October 2007","2007","Douglas","Pioneer Park, Canyonville","42.9264","-123.2754","82","","","Centaurium erythraea Rafn "
"observation","306430","Gentianaceae","Centaurium erythraea","common centaury, European centaury","Wilson, B., Brainerd, R.","","10 August 2006","2006","Benton","Rock Creek Watershed: end of road 3408-112","44.5120","-123.4745","","","","Centaurium erythraea Rafn "
"image","dig16583","Gentianaceae","Zeltnera muehlenbergii","Monterey centaury, Muehlenberg's centaury","Gerald D. Carr","","July 11, 2008","2008","Linn","Kingston Prairie, Kingston-Lyons Dr. SE, 1.7 mi. east of Kingston; 44.77955&#176; N -122.74021&#176; W","44.7796","-122.7402","","","","Zeltnera muehlenbergii (Griseb.) Mansion "
"observation","358356","Gentianaceae","Centaurium erythraea","common centaury, European centaury","Wilson, B.","","17 October 2008","2008","Douglas","Ben Irving Reservoir; picnic area","43.0468","-123.5797","268","","","Centaurium erythraea Rafn "
"observation","350943","Gentianaceae","Gentiana setigera","elegant gentian, Mendocino gentian","ORBIC","","28 July 2002","2002","Josephine","Sensitive species - location undisclosed","42.1000","-123.7000","671","","","Gentiana setigera A. Gray "
"observation","311712","Gentianaceae","Centaurium erythraea","common centaury, European centaury","Brainerd, R., Newhouse, B., Otting, N.","","2005","2005","Lane","South Taylor","44.1270","-123.2910","102","","","Centaurium erythraea Rafn "
"observation","430348","Gentianaceae","Frasera albicaulis","whitestem frasera","Schuller, R., Halvorson, R.","","April 2009","2009","Lake","Benjamin RNA","43.5936","-120.3663","1500","forest","","Frasera albicaulis Griseb. "
"image","dig24412","Gentianaceae","Gentiana setigera","elegant gentian, Mendocino gentian","Gerald D. Carr","","September 7, 2010","2010","Josephine","Sensitive species - location undisclosed","42.1000","-123.7000","462","","","Gentiana setigera A. Gray "
"image","dig16591","Gentianaceae","Cicendia quadrangularis","timwort","Gerald D. Carr","","June 10, 2008","2008","Lane","Sensitive species - location undisclosed","44.0000","-123.2000","","","","Cicendia quadrangularis (Lam.) Griseb. "
"image","dig12570","Gentianaceae","Gentiana setigera","elegant gentian, Mendocino gentian","Keir Morse","","July 20, 2007","2007","Josephine","Sensitive species - location undisclosed","42.3000","-123.6000","","","","Gentiana setigera A. Gray "
"image","dig11834","Gentianaceae","Zeltnera muehlenbergii","Monterey centaury, Muehlenberg's centaury","Keir Morse","","July 2, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I213; 42.2981810036&#176; N -123.65581681&#176; W","42.2982","-123.6558","","","","Zeltnera muehlenbergii (Griseb.) Mansion "
"observation","403738","Gentianaceae","Gentiana setigera","elegant gentian, Mendocino gentian","ORBIC","","13 August 2004","2004","Josephine","Sensitive species - location undisclosed","42.0000","-123.8000","488","","","Gentiana setigera A. Gray "
"image","dig12572","Gentianaceae","Gentiana setigera","elegant gentian, Mendocino gentian","Keir Morse","","July 20, 2007","2007","Josephine","Sensitive species - location undisclosed","42.3000","-123.6000","","","","Gentiana setigera A. Gray "
"image","dig12574","Gentianaceae","Gentiana setigera","elegant gentian, Mendocino gentian","Keir Morse","","July 20, 2007","2007","Josephine","Sensitive species - location undisclosed","42.3000","-123.6000","","","","Gentiana setigera A. Gray "
"observation","284832","Gentianaceae","Centaurium erythraea","common centaury, European centaury","Wilson, B., Brainerd, R.","","2005","2005","Linn","I-5, mile 216 to 217","44.3879","-123.0613","","","","Centaurium erythraea Rafn "
"observation","314051","Gentianaceae","Zeltnera muehlenbergii","Monterey centaury, Muehlenberg's centaury","Salix Associates","","2004","2004","Lane","Lowell Butte (Disappointment Butte)","43.9243","-122.7653","","","","Zeltnera muehlenbergii (Griseb.) Mansion "
"observation","385881","Gentianaceae","Centaurium erythraea","common centaury, European centaury","Wilson, B., Otting, N., Stein, M.","","27 June 2010","2010","Lincoln","Beach N of Seal Rock","44.5034","-124.0821","6","","","Centaurium erythraea Rafn "
"observation","307516","Gentianaceae","Centaurium erythraea","common centaury, European centaury","Wilson, B., Brainerd, R.","","15 August 2006","2006","Benton","Rock Creek Watershed: road 3408 at north boundary of City property","44.4998","-123.5095","","","","Centaurium erythraea Rafn "
"observation","190124","Gentianaceae","Gentiana calycosa","explorer's gentian, mountain bog gentian","Koenig, J.","","19 July 2002","2002","Clackamas","Table Rock Wilderness","44.9552","-122.3285","1387","","","Gentiana calycosa Griseb. "
"observation","354683","Gentianaceae","Centaurium erythraea","common centaury, European centaury","Wilson, B., Otting, N.","","30 June 2008","2008","Douglas","Anna Drain County Park","43.6593","-123.3150","","","","Centaurium erythraea Rafn "
"image","dig27781","Gentianaceae","Frasera albicaulis var. modocensis","Modoc frasera","Gerald D. Carr","","May 20, 2011","2011","Lake","Adel-Fort Bidwell Road, 16.5 mi. southwest of Adel; 1655m; 42.00072&#176; N -120.03238&#176; W","42.0007","-120.0324","1655","","","Frasera albicaulis Griseb. var. modocensis (H. St. John) N.H. Holmgren "
"image","dig27857","Gentianaceae","Gentianopsis simplex","one flowered gentian","Gerald D. Carr","","September 16, 2011","2011","Lane","Quaking Aspen Swamp, south central area; 1362m","44.0601","-122.0978","1362","","","Gentianopsis simplex (A. Gray) H.H. Iltis "
"observation","307023","Gentianaceae","Centaurium erythraea","common centaury, European centaury","Newhouse, B., Wilson, B.","","17 August 2006","2006","Multnomah","Bull Run Watershed: mile 20.75 on 10 road","45.4924","-121.9018","","","","Centaurium erythraea Rafn "
