"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"image","dig21966","Alismataceae","Sagittaria latifolia","wapato, broadleaf arrowhead, duck potato","Gerald D. Carr","","September 2, 2009","2009","Multnomah","shore of Mirror Lake, near parking area on north side of I-84, Rooster Rock State Park; 14m; 45.54257&#176; N -122.22805&#176; W","45.5426","-122.2280","14","","","Sagittaria latifolia Willd. "
"image","dig21969","Alismataceae","Sagittaria latifolia","wapato, broadleaf arrowhead, duck potato","Gerald D. Carr","","September 2, 2009","2009","Multnomah","shore of Mirror Lake, near parking area on north side of I-84, Rooster Rock State Park; 14m; 45.54257&#176; N -122.22805&#176; W","45.5426","-122.2280","14","","","Sagittaria latifolia Willd. "
"image","dig37994","Alismataceae","Alisma lanceolatum","lanceleaf water plantain","Gerald D. Carr","","August 17, 2014","2014","Benton","Finley Refuge Rd., in shallow water near rest area, ca. 0.8 mi. SW of jct. with Finley Rd.; 78m; 44.42159&#176; N -123.31423&#176; W","44.4216","-123.3142","78","","","Alisma lanceolatum With. "
"image","dig37999","Alismataceae","Alisma lanceolatum","lanceleaf water plantain","Gerald D. Carr","","July 30, 2014","2014","Lane","Quamash Prairie wetland mitigation complex, 5 mi. SW of Eugene; 158m; 43.95153&#176; N -123.00374&#176; W","43.9515","-123.0037","158","","","Alisma lanceolatum With. "
"observation","205555","Alismataceae","Sagittaria latifolia","wapato, broadleaf arrowhead, duck potato","Bluhm, W.","","2003","2003","Marion","Minto-Brown Island Park: Bluhm 2003","44.9236","-123.0722","","","","Sagittaria latifolia Willd. "
"observation","401071","Alismataceae","Alisma triviale","northern water plantain, American water plantain","Maze, D.","","14 May 2010","2010","Benton","Marys River, in an area E of Wren","44.5884","-123.4000","131","","","Alisma triviale Pursh "
"observation","417581","Alismataceae","Sagittaria latifolia","wapato, broadleaf arrowhead, duck potato","NPSO - Portland","","2013","2013","Columbia or Multnomah","Sauvie Island: Joslin Pond","45.7508","-122.8172","","","","Sagittaria latifolia Willd. "
"observation","366896","Alismataceae","Sagittaria cuneata","arumleaf arrowhead, wapato","Harvey, T.","","2008 - 2013","2008","Douglas or Lane","Bristow Prairie and High Divide Trail","43.4414","-122.4604","1387","","","Sagittaria cuneata E. Sheld. "
"image","dig38001","Alismataceae","Alisma lanceolatum","lanceleaf water plantain","Gerald D. Carr","","July 31, 2014","2014","Lane","Quamash Prairie wetland mitigation complex, 5 mi. SW of Eugene; 158m; 43.95153&#176; N -123.00374&#176; W","43.9515","-123.0037","158","","","Alisma lanceolatum With. "
"observation","385675","Alismataceae","Alisma lanceolatum","lanceleaf water plantain","Wilson, B.","","11 June 2010","2010","Linn","Intersection of Courtney Lane and Timber Lane","44.3459","-122.9367","118","","","Alisma lanceolatum With. "
"observation","243737","Alismataceae","Sagittaria cuneata","arumleaf arrowhead, wapato","Battaile, J., Battaile, C.","","23 July 2003","2003","Klamath","LOW east meadow","42.3833","-122.2167","1503","","","Sagittaria cuneata E. Sheld. "
"observation","418304","Alismataceae","Alisma triviale","northern water plantain, American water plantain","Maze, D.","","10 May 2014","2014","Multnomah","Catkin Marsh","45.5378","-122.7591","","","","Alisma triviale Pursh "
"image","dig38003","Alismataceae","Alisma lanceolatum","lanceleaf water plantain","Gerald D. Carr","","July 31, 2014","2014","Lane","Quamash Prairie wetland mitigation complex, 5 mi. SW of Eugene; 158m; 43.95153&#176; N -123.00374&#176; W","43.9515","-123.0037","158","","","Alisma lanceolatum With. "
