"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"image","dig25041","Loasaceae","Mentzelia laevicaulis var. laevicaulis","smoothstem blazingstar, great mentzelia","Gerald D. Carr","","September 8, 2010","2010","Josephine","NFD Road 4103, 3.3 mi. west of Highway 199, Selma; 427m; 42.28415&#176; N -123.67303&#176; W","42.2841","-123.6730","427","","","Mentzelia laevicaulis (Douglas ex Hook.) Torr. & A. Gray var. laevicaulis "
"image","dig25022","Loasaceae","Mentzelia dispersa","bushy mentzelia","Gerald D. Carr","","July 6, 2010","2010","Wheeler","Highway 19, 2.5 mi. east of junction with Highway 218 at Fossil; 890m; 44.98908&#176; N -120.16638&#176; W","44.9891","-120.1664","890","","","Mentzelia dispersa S. Watson "
"image","dig13153","Loasaceae","Mentzelia laevicaulis var. laevicaulis","smoothstem blazingstar, great mentzelia","Keir Morse","","July 13, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I141; 42.2731987726&#176; N -123.634857533&#176; W","42.2732","-123.6349","","","","Mentzelia laevicaulis (Douglas ex Hook.) Torr. & A. Gray var. laevicaulis "
"image","dig13151","Loasaceae","Mentzelia laevicaulis var. laevicaulis","smoothstem blazingstar, great mentzelia","Keir Morse","","May 24, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I141; 42.2731987726&#176; N -123.634857533&#176; W","42.2732","-123.6349","","","","Mentzelia laevicaulis (Douglas ex Hook.) Torr. & A. Gray var. laevicaulis "
"image","dig25024","Loasaceae","Mentzelia dispersa","bushy mentzelia","Gerald D. Carr","","July 7, 2010","2010","Crook","junction with Rocky Butte Road, 6.0 mi. northeast of, ca. 24 mi. northeast of Prineville, Highway 26; 1259m; 44.43785&#176; N -120.474&#176; W","44.4378","-120.4740","1259","","","Mentzelia dispersa S. Watson "
"image","dig25025","Loasaceae","Mentzelia dispersa","bushy mentzelia","Gerald D. Carr","","July 7, 2010","2010","Crook","Hwy. 26 junction with Rocky Butte Rd., 6.0 mi. NE of; 1259m","44.4378","-120.4740","1259","","","Mentzelia dispersa S. Watson "
"image","dig21352","Loasaceae","Mentzelia albicaulis","whitestem blazingstar","Gerald D. Carr","","June 17, 2009","2009","Deschutes","Innes Market Road, ca. 1.0 mi. east of Highway 20, ca. 10 mi. southeast of Sisters; 1000m; 44.19843&#176; N -121.38068&#176; W","44.1984","-121.3807","1000","","","Mentzelia albicaulis (Douglas ex Hook.) Douglas ex Torr. & A. Gray "
"observation","243716","Loasaceae","Mentzelia montana","variegated bract blazingstar","Battaile, J., Battaile, C.","","22 June 2003","2003","Klamath","Head of River campground","42.7333","-121.4167","","forest, herbland","","Mentzelia montana (Davidson) Davidson "
"image","dig28363","Loasaceae","Mentzelia veatchiana","Veatch's mentzelia, whitestem blazingstar","Gerald D. Carr","","June 16, 2011","2011","Deschutes","Innes Market Road, 0.3 mi. east of Highway 20, ca. 10.3 mi. southeast of Sisters; 988m","44.1963","-121.3927","988","","","Mentzelia veatchiana Kellogg "
"image","dig28360","Loasaceae","Mentzelia veatchiana","Veatch's mentzelia, whitestem blazingstar","Gerald D. Carr","","June 16, 2011","2011","Deschutes","Innes Market Road, 0.3 mi. east of Highway 20, ca. 10.3 mi. southeast of Sisters; 988m; 44.19629&#176; N -121.3927&#176; W","44.1963","-121.3927","988","","","Mentzelia veatchiana Kellogg "
