binomial,count
Solidago gigantea,1
Solidago missouriensis,1
Solidago simplex,1
Solidago spectabilis,1
Solidago velutina,1
Soliva sessilis,24
Sonchus arvensis,4
Sonchus asper,141
Sonchus oleraceus,77
Stephanomeria exigua,2
Stephanomeria lactucina,5
Stephanomeria paniculata,2
Stephanomeria virgata,1
Symphyotrichum bracteolatum,2
Symphyotrichum campestre,1
Symphyotrichum chilense,4
Symphyotrichum foliaceum,83
Symphyotrichum hallii,38
Symphyotrichum spathulatum,47
Symphyotrichum subspicatum,14
Tanacetum camphoratum,8
Tanacetum parthenium,5
Tanacetum vulgare,72
Taraxacum officinale,403
Tetradymia canescens,5
Townsendia florifer,6
Tragopogon dubius,97
Tragopogon porrifolius,19
Tragopogon pratensis,3
Wyethia amplexicaulis,1
Wyethia angustifolia,44
Xanthium spinosum,1
Xanthium strumarium,21
