"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","412556","Malvaceae","Sidalcea campestris","meadow sidalcea","Newhouse, B., Brainerd, R.","","July 2007","2007","Benton","Herbert Farm and Natural Area, Open Space Park","44.5198","-123.2956","","","","Sidalcea campestris Greene "
"observation","329568","Malvaceae","Sidalcea hirtipes","hairy stemmed checkermallow","Robinson, A.","","8 July 2005","2005","Columbia","Sensitive species - location undisclosed","45.8000","-122.8000","19","","","Sidalcea hirtipes C.L. Hitchc. "
"observation","401508","Malvaceae","Sidalcea cusickii","Cusick's sidalcea, Cusick's checkermallow","Newhouse, B.","","2010","2010","Lane","T19S R04W Section 14 NW 1/4, private property site","43.9228","-123.1414","","","","Sidalcea cusickii Piper "
"image","dig43828","Malvaceae","Sidalcea hickmanii ssp. petraea","Hickman's checkerbloom","Richard R. Halse","","June 11, 2009","2009","Jackson","Top of Neil Rock, ca. 14 air miles north northwest of Medford.; 45.54145&#176; N -122.96996&#176; W","45.5414","-122.9700","","","","Sidalcea hickmanii Greene ssp. petraea S.R. Hill & R. Halse "
"observation","243001","Malvaceae","Iliamna bakeri","Baker's wild hollyhock, Baker's globemallow","ORBIC","","17 July 2003","2003","Klamath","ORBIC Element Occurrence #  25784","42.0464","-121.3289","1643","","","Iliamna bakeri (Jeps.) Wiggins "
"image","dig36330","Malvaceae","Sidalcea hirtipes","hairy stemmed checkermallow","Gerald D. Carr","","June 17, 2013","2013","Clatsop","Sensitive species - location undisclosed","46.0000","-123.7000","732","","","Sidalcea hirtipes C.L. Hitchc. "
"observation","294477","Malvaceae","Malva neglecta","common mallow, cheeseweed, dwarf mallow","Wilson, B.","","23 March 2004","2004","Wasco","The Dalles","45.5946","-121.1787","26","","","Malva neglecta Wallr. "
"observation","396428","Malvaceae","Sidalcea campestris","meadow sidalcea","Wilson, B., Brainerd, R., Newhouse, B., Otting, N.","","7 July 2008","2008","Lane","Highway 58, mile post 8 to 9","43.9429","-122.8681","","","","Sidalcea campestris Greene "
"observation","355003","Malvaceae","Sidalcea malviflora ssp. virgata","rose sidalcea, rose checkermallow","Wilson, B., Otting, N.","","2 July 2008","2008","Douglas","Stop on road 28-4-13","43.1597","-123.1236","491","","","Sidalcea malviflora (DC.) A. Gray ex Benth. ssp. virgata (Howell) C.L. Hitchc. "
"observation","178765","Malvaceae","Sidalcea cusickii","Cusick's sidalcea, Cusick's checkermallow","Boyer, L.","","2002","2002","Lane","Southwest and South Eugene","44.0167","-123.2110","","","","Sidalcea cusickii Piper "
"observation","396387","Malvaceae","Sidalcea campestris","meadow sidalcea","Wilson, B., Brainerd, R., Newhouse, B., Otting, N.","","7 July 2008","2008","Lane","Highway 58, mile post 6 to 7","43.9562","-122.9040","","","","Sidalcea campestris Greene "
"image","dig17043","Malvaceae","Alcea rosea","hollyhock","Gerald D. Carr","","July 21, 2003","2003","Benton","Corvallis","44.5647","-123.2608","","","","Alcea rosea L. "
"image","dig25987","Malvaceae","Sidalcea oregana ssp. spicata","edgewood checkerbloom","Gerald D. Carr","","September 7, 2010","2010","Josephine","NFD Road 070, 0.53 mi. south of washout, northwest of Bigelow Lakes; 1701m; 42.09467&#176; N -123.37467&#176; W","42.0947","-123.3747","1701","","","Sidalcea oregana (Nutt. ex Torr. & A. Gray) A. Gray ssp. spicata (Regel) C.L. Hitchc. "
"observation","178932","Malvaceae","Sidalcea campestris","meadow sidalcea","Boyer, L.","","2002","2002","Lane","Gettings Creek","43.8594","-122.9771","","","","Sidalcea campestris Greene "
"observation","419745","Malvaceae","Sidalcea oregana","Oregon checkermallow","Harvey, T.","","2003 - 2013","2003","Linn","Sensitive species - location undisclosed","44.6000","-122.0000","1244","","","Sidalcea oregana (Nutt. ex Torr. & A. Gray) A. Gray "
"observation","310331","Malvaceae","Sidalcea oregana ssp. spicata","edgewood checkerbloom","Newhouse, B.","","22 July 2006","2006","Lane","Box Canyon","43.9078","-122.0804","1131","","","Sidalcea oregana (Nutt. ex Torr. & A. Gray) A. Gray ssp. spicata (Regel) C.L. Hitchc. "
"image","dig34530","Malvaceae","Abutilon theophrasti","velvetleaf","Gerald D. Carr","","September 5, 2013","2013","Lane","Territorial Rd., 1.1 mi. N of jct. with Hwy 36 at Cheshire; 98m; 44.20569&#176; N -123.28658&#176; W","44.2050","-123.2870","98","","","Abutilon theophrasti Medik. "
"image","dig17069","Malvaceae","Sidalcea malviflora ssp. asprella","Del Norte checkerbloom, harsh sidalcea","Gerald D. Carr","","June 14, 2008","2008","Josephine","Westside Road, 1.2 mi. west of Kerby,  via. Finch Road; 42.18862&#176; N -123.66852&#176; W","42.1886","-123.6685","","","","Sidalcea malviflora (DC.) A. Gray ex Benth. ssp. asprella (Greene) C.L. Hitchc. "
"observation","318006","Malvaceae","Sidalcea malviflora ssp. virgata","rose sidalcea, rose checkermallow","BLM Botanist","","2007","2007","Benton","Forest Peak Research Natural Area","44.6687","-123.3324","","","","Sidalcea malviflora (DC.) A. Gray ex Benth. ssp. virgata (Howell) C.L. Hitchc. "
"observation","356445","Malvaceae","Sidalcea oregana","Oregon checkermallow","Wilson, B., Newhouse, B.","","7 August 2008","2008","Lake","Sensitive species - location undisclosed","42.5000","-120.7000","1821","","","Sidalcea oregana (Nutt. ex Torr. & A. Gray) A. Gray "
"image","dig43832","Malvaceae","Sidalcea hickmanii ssp. petraea","Hickman's checkerbloom","Richard R. Halse","","June 11, 2009","2009","Jackson","Top of Neil Rock, ca. 14 air miles north northwest of Medford.; 45.54145&#176; N -122.96996&#176; W","45.5414","-122.9700","","","","Sidalcea hickmanii Greene ssp. petraea S.R. Hill & R. Halse "
"image","dig22168","Malvaceae","Sphaeralcea munroana","whitestem globemallow, Munro's mallow, white leaved globemallow","Gerald D. Carr","","September 23, 2009","2009","Wheeler","Painted Hills Overlook off Bear Creek Road, 6.7 mi. northwest of Highway 26 via Burnt Ranch Road; 634m; 44.64971&#176; N -120.26661&#176; W","44.6497","-120.2666","634","","","Sphaeralcea munroana (Douglas ex Lindl.) Spach ex A. Gray "
"observation","409984","Malvaceae","Sidalcea nelsoniana","Nelson's checkermallow","Olson, B.B., Maffitt, V.","","19 April 2008","2008","Washington","Sensitive species - location undisclosed","45.4000","-122.8000","","","","Sidalcea nelsoniana Piper "
"image","dig36336","Malvaceae","Sidalcea hirtipes","hairy stemmed checkermallow","Gerald D. Carr","","June 17, 2013","2013","Clatsop","Sensitive species - location undisclosed","46.0000","-123.7000","899","","","Sidalcea hirtipes C.L. Hitchc. "
"image","dig17064","Malvaceae","Sidalcea malviflora ssp. asprella","Del Norte checkerbloom, harsh sidalcea","Gerald D. Carr","","June 12, 2007","2007","Josephine","Eight Dollar Mountain, southwest of, NFD Road 4201, 2.0 mi. south of Illinois River Bridge; 42.23494&#176; N -123.70247&#176; W","42.2349","-123.7025","","","","Sidalcea malviflora (DC.) A. Gray ex Benth. ssp. asprella (Greene) C.L. Hitchc. "
"image","dig35835","Malvaceae","Malva moschata","musk mallow","Gerald D. Carr","","June 27, 2013","2013","Benton","Corvallis; Spreading in Garden at NW entry to Cordley Hall, OSU Campus, NW Orchard Ave. between 26th and 30th Streets; 80m; 44.56756&#176; N -123.28194&#176; W","44.5676","-123.2819","80","","","Malva moschata L. "
"observation","329107","Malvaceae","Sidalcea malviflora ssp. asprella","Del Norte checkerbloom, harsh sidalcea","Morse, K.","","4 July 2007","2007","Josephine","Deer Creek Center - South","42.2772","-123.6458","382","","","Sidalcea malviflora (DC.) A. Gray ex Benth. ssp. asprella (Greene) C.L. Hitchc. "
"observation","297195","Malvaceae","Sidalcea malviflora ssp. virgata","rose sidalcea, rose checkermallow","Brainerd, R., Newhouse, B., Wilson, B.","","22 August 2004","2004","Lane","Oakridge (east side of town)","43.7432","-122.4615","366","","","Sidalcea malviflora (DC.) A. Gray ex Benth. ssp. virgata (Howell) C.L. Hitchc. "
"observation","243778","Malvaceae","Sidalcea oregana ssp. oregana","Oregon checkermallow","Battaile, C., Battaile, J.","","15 July 2003","2003","Klamath","Surveyor Rec. Area","42.2500","-122.2333","1554","forest, herbland, shrubland","","Sidalcea oregana (Nutt. ex Torr. & A. Gray) A. Gray ssp. oregana "
"observation","300605","Malvaceae","Malva neglecta","common mallow, cheeseweed, dwarf mallow","Olson, B.B., Maffitt, V.","","28 April 2006","2006","Washington","Tualatin Wildlife Refuge","45.3677","-122.8363","","","","Malva neglecta Wallr. "
"observation","414190","Malvaceae","Sidalcea malviflora ssp. virgata","rose sidalcea, rose checkermallow","Brainerd, R., Newhouse, B.","","2007","2007","Lane","Andrew Reasoner Wildlife Preserve, Lorane Highway","43.9599","-123.2088","158","","","Sidalcea malviflora (DC.) A. Gray ex Benth. ssp. virgata (Howell) C.L. Hitchc. "
"image","dig22167","Malvaceae","Sphaeralcea munroana","whitestem globemallow, Munro's mallow, white leaved globemallow","Gerald D. Carr","","September 23, 2009","2009","Wheeler","Painted Hills Overlook off Bear Creek Road, 6.7 mi. northwest of Highway 26 via Burnt Ranch Road; 634m; 44.64971&#176; N -120.26661&#176; W","44.6497","-120.2666","634","","","Sphaeralcea munroana (Douglas ex Lindl.) Spach ex A. Gray "
"image","dig25982","Malvaceae","Sidalcea oregana ssp. spicata","edgewood checkerbloom","Gerald D. Carr","","September 7, 2010","2010","Josephine","NFD Road 070, 0.53 mi. south of washout, northwest of Bigelow Lakes; 1701m","42.0947","-123.3747","1701","","","Sidalcea oregana (Nutt. ex Torr. & A. Gray) A. Gray ssp. spicata (Regel) C.L. Hitchc. "
"observation","320638","Malvaceae","Sidalcea oregana","Oregon checkermallow","Brainerd, R., Otting, N., Wilson, B.","","19 May 2007","2007","Deschutes","Sensitive species - location undisclosed","44.2000","-121.2000","888","","","Sidalcea oregana (Nutt. ex Torr. & A. Gray) A. Gray "
"observation","190642","Malvaceae","Sidalcea cusickii","Cusick's sidalcea, Cusick's checkermallow","Native Plant Society of Oregon","","18 August 2002","2002","Lane","Cupit Mary Meadows","43.7322","-122.0912","1539","","","Sidalcea cusickii Piper "
