binomial,count
Adiantum aleuticum,88
Adiantum jordanii,1
Aspidotis densa,69
Cheilanthes covillei,1
Cheilanthes gracillima,83
Cheilanthes intertexta,13
Cryptogramma acrostichoides,74
Cryptogramma cascadensis,8
Pellaea andromedifolia,2
Pellaea brachyptera,5
Pentagramma triangularis,40
