genus,species,score
Balsamorhiza,serrata,0.0003085303067486921
Balsamorhiza,terebinthacea,1.6546429280561253e-05
Bellis,perennis,0.006767528048688588
Berkheya,heterophylla,4.963928784168377e-05
Bidens,amplissima,0.0020454080589077522
Bidens,beckii,0.00027072652301302026
Bidens,cernua,0.0040705575328894164
Bidens,connata,0.0006286729333218769
Bidens,cusickii,1.6546429280561253e-05
Bidens,frondosa,0.0023550182205037224
Bidens,laevis,4.308257604023173e-05
Bidens,pilosa,2.5567600736346902e-05
Bidens,tripartita,0.0009244164475051452
Bidens,vulgata,0.0006177715463849729
Blennosperma,nanum,9.633236417136652e-05
Blepharipappus,laevis,3.309285856112251e-05
Blepharipappus,scaber,0.0029197024810657998
Boltonia,asteroides,0.000225620665734092
Boltonia,decurrens,1.6546429280561253e-05
Brickellia,californica,0.0009799512178782872
Brickellia,grandiflora,0.0003830029465610155
Brickellia,greenei,0.0007785401887794149
Brickellia,microphylla,3.4061404584446076e-05
Brickellia,oblongifolia,8.422806003381632e-05
Cacaliopsis,nardosmia,0.002616964635606272
Calendula,officinalis,0.0001534056044180814
Callistephus,chinensis,2.5567600736346902e-05
Calycadenia,fremontii,0.0009186488043146901
Calycadenia,micrantha,0.00018390724069079062
Calycadenia,multiglandulosa,0.00013136231477913615
Calycadenia,pauciflora,0.00017514975303884822
Calycadenia,truncata,0.000977126726692377
Canadanthus,modestus,0.0036465593345407967
Carduus,acanthoides,0.0006723894571529184
Carduus,edulis,2.5567600736346902e-05
Carduus,nutans,0.0023719617630172966
Carduus,pycnocephalus,0.001705348605369926
Carduus,tenuiflorus,0.002072304519658823
Carthamus,creticus,8.757487651942411e-06
Carthamus,lanatus,0.00036394029728828697
Carthamus,tinctorius,0.00022834880919226882
Cassinia,fulvida,5.1135201472693805e-05
Centaurea,benedicta,0.00043337648316840656
Centaurea,biebersteinii,2.5567600736346902e-05
Centaurea,calcitrapa,0.0005461741297362738
Centaurea,cineraria,8.757487651942411e-06
Centaurea,cyanus,0.003028872154740655
Centaurea,dealbata,2.5567600736346902e-05
Centaurea,debeauxii,0.0011356539458745921
Centaurea,diffusa,0.006751721506388765
Centaurea,gerstlaueri,0.0023524020264228166
Centaurea,iberica,3.309285856112251e-05
Centaurea,jacea,0.000920214764207565
Centaurea,kleinii,0.00011582500496392879
Centaurea,macrocephala,7.67028022090407e-05
Centaurea,melitensis,0.002345066613086169
Centaurea,montana,0.0005488119961348255
Centaurea,nigra,0.00035046684215380645
Centaurea,nigrescens,0.000381277777980378
Centaurea,ragusina,5.1135201472693805e-05
Centaurea,solstitialis,0.022993014566861262
Centaurea,stoebe,0.007430925996232424
Centaurea,varnensis,0.0002361377508208877
Centaurea,virgata,0.0014887729008302099
Centaurea,×moncktonii,0.004235389028325565
Centromadia,fitchii,0.0008205346291101775
Centromadia,parryi,6.130241356359688e-05
Centromadia,pungens,7.617543460135423e-05
Chaenactis,carphoclinia,8.757487651942411e-06
Chaenactis,douglasii,0.0033147881522198573
Chaenactis,glabriuscula,0.00027148211721021476
Chaenactis,suffrutescens,0.0008669912775422986
Chamaemelum,fuscatum,1.7514975303884822e-05
Chamaemelum,nobile,2.6272462955827234e-05
Chondrilla,juncea,0.0034364264770449047
